Ticker,52W_High_Ratio,52W_ROC,26W_High_Ratio,26W_ROC,RS52W,RS52W_13W,RS26W,RS26W_4W,Trend_Ratio,Stop_Loss_Pct,g_Daily_Pct,g_1000_Daily_Pct,Risk_Reward_10D,RS_Uptrend,MA_Uptrend,MA_Day_Uptrend,MA_Week_Uptrend,ITrend_Uptrend,Buy_Signal
TRITURBINE.NS,0.9,0.92,0.9,0.64,0.73,0.57,0.8,0.83,143.92,32.57,0.3254,0.2473,0.1,False,True,True,True,True,False
TIDEWATER.NS,0.89,1.13,0.89,0.72,0.79,0.79,0.82,0.83,143.96,31.78,0.3391,0.1295,0.11,True,True,True,True,False,False
PPL.NS,0.98,1.34,0.98,0.82,0.84,0.85,0.85,0.78,144.04,34.69,0.2771,0.2583,0.08,True,True,True,True,True,False
TCPLPACK.NS,0.99,0.8,0.99,0.64,0.68,0.61,0.8,0.77,144.11,29.63,0.2304,0.2348,0.08,False,True,True,True,True,False
PILANIINVS.NS,0.94,1.66,0.94,0.94,0.88,0.83,0.88,0.88,144.17,33.33,0.3794,0.1899,0.11,True,True,True,True,False,False
SARDAEN.NS,0.99,0.72,0.99,0.69,0.64,0.62,0.82,0.78,144.18,31.42,0.2817,0.2701,0.09,False,True,True,True,True,False
CHOLAHLDNG.NS,0.97,0.94,0.97,0.79,0.74,0.58,0.85,0.78,144.22,34.04,0.2774,0.1782,0.08,False,True,True,True,True,False
WALCHANNAG.NS,0.72,2.08,0.72,0.66,0.92,0.9,0.81,0.89,144.3,28.98,0.2875,0.245,0.1,False,True,True,True,False,False
THANGAMAYL.NS,0.9,0.66,0.9,0.6,0.62,0.69,0.79,0.74,144.3,32.73,0.2748,0.2682,0.08,False,True,True,True,True,False
DEEPENR.NS,0.9,1.12,0.9,0.72,0.79,0.49,0.82,0.61,144.37,40.7,0.4389,0.2519,0.11,False,True,True,True,True,False
QUICKHEAL.NS,0.97,2.56,0.97,0.84,0.93,0.91,0.86,0.84,144.4,36.21,0.352,0.2239,0.1,True,True,True,True,True,False
IFCI.NS,0.78,3.75,0.78,1.6,0.95,0.94,0.93,0.87,144.62,33.72,0.4254,0.3078,0.13,True,True,True,True,False,False
GRSE.NS,0.65,1.2,0.65,1.22,0.81,0.9,0.91,0.92,144.69,34.12,0.4043,0.3085,0.12,False,True,True,True,False,False
ASAHISONG.NS,0.92,1.17,0.92,0.84,0.8,0.74,0.86,0.86,145.0,32.3,0.2852,0.1046,0.09,True,True,True,True,False,False
MANAKCOAT.NS,0.99,2.8,0.99,1.57,0.93,0.91,0.93,0.92,145.15,41.06,0.4871,0.2862,0.12,True,True,True,True,True,False
SABEVENTS.NS,0.88,2.37,0.88,1.1,0.93,0.86,0.9,0.84,145.18,35.28,0.4358,0.1812,0.12,True,True,True,True,True,False
